"ID","TreatmentDate","OptInDate","GMV2015"
110443,2016-08-08,2016-08-08,24668.98
18639,2016-06-06,2017-02-03,22896.88
177017,2016-08-08,NA,128779.76
52949,2016-08-08,NA,21617.68
72775,2016-08-08,NA,15820.11
163219,2016-08-08,2017-01-22,56585.97
167718,2016-06-13,NA,13712.93
78767,2016-06-21,2016-07-08,36669.1
58188,2016-06-13,2016-10-06,26928.71
47232,2016-08-08,2016-08-18,34038.79
145865,2016-06-21,NA,20888.13
96988,2016-06-13,NA,30871.48
62586,2016-08-08,NA,22317.23
69427,2016-06-13,2016-06-14,21870.83
2042,2016-08-08,NA,37305.95
97464,2016-06-21,NA,11914.72
157079,2016-06-21,2016-06-22,79321.53
146486,2016-06-21,2017-02-14,13342.36
100498,2016-06-13,2016-11-30,17965.36
4490,2016-06-21,NA,11583.7
107008,2016-07-26,NA,15301.64
16875,2016-06-06,NA,69435.63
11387,2016-06-13,NA,13714.1
58459,2016-07-26,2017-02-26,94651.73
141384,2016-06-13,NA,67580.27
125772,2016-06-06,NA,20491.87
111420,2016-05-12,2016-05-14,10462.07
20570,2016-06-21,NA,27799.69
137078,2016-06-21,NA,30246.36
105611,2016-08-08,NA,15255
22020,2016-06-13,NA,15671.24
157084,2016-06-13,NA,21872.81
112770,2016-06-13,NA,67837.03
34048,2016-06-13,NA,35763.81
20742,2016-06-06,NA,12240.72
33782,2016-06-13,NA,49045.48
19394,2016-08-08,2016-08-11,16872.86
156824,2016-06-13,NA,33097.1
72296,2016-05-19,2016-11-03,466222.5
12200,2016-05-19,2016-08-19,49114.74
122523,2016-06-13,NA,11483.91
2766,2016-06-13,NA,53872.7
152948,2016-06-13,NA,15395.93
11625,2016-06-13,NA,36969.74
55324,2016-08-08,2016-08-14,28286.03
131435,2016-08-08,2016-08-08,32354.06
170111,2016-06-06,NA,17791.64
16298,2016-08-08,NA,53761.45
178510,2016-05-19,2016-05-19,33177.51
173324,2016-08-08,NA,70037.22
171161,2016-06-13,2017-02-07,14094.26
5274,2016-06-21,2016-08-17,102264.1
176703,2016-06-21,NA,23439.72
20894,2016-06-13,2016-06-19,46105.58
53306,2016-06-13,NA,39325.5
125083,2016-06-13,NA,74755.96
108062,2016-06-06,2016-06-09,16387.5
142403,2016-06-21,2016-07-14,20878.31
64322,2016-06-13,NA,30174.69
122159,2016-06-21,2016-11-08,14821.76
63325,2016-06-13,2016-06-25,11752.69
178603,2016-06-13,2016-09-20,27695.22
162851,2016-06-21,2016-06-21,27288.74
6047,2016-05-12,2016-10-28,21691.84
145651,2016-05-12,2016-05-14,29206.93
141355,2016-08-08,2017-02-21,235693.69
49571,2016-06-21,2016-08-14,25348.49
61056,2016-06-13,NA,10446.47
153727,2016-06-06,2016-10-20,15381.54
105694,2016-06-13,2016-06-13,48471.79
174889,2016-08-08,2017-02-03,27171.82
17226,2016-08-08,2016-09-13,52543.47
114949,2016-08-08,NA,61629.76
32203,2016-06-13,NA,82721.62
21196,2016-05-19,2016-06-04,88451.67
132209,2016-06-21,NA,11903.8
160089,2016-06-13,2016-06-14,14578
15537,2016-08-08,NA,16526.17
183452,2016-06-13,NA,10472.26
