estimate,se_seller,se_hc1,se_twoway,n,converged,error,func_form,fe,sample,cov_design,form_label,fe_label,sample_label,cov_label
0.002466,0.017203,0.010626,0.017175,423706,True,,F1,E1,S1,D1,log(GMV+1),Seller+Week FE,Full sample,No controls
0.012747,0.017736,0.015113,0.014012,423706,True,,F1,E1,S1,D2,log(GMV+1),Seller+Week FE,Full sample,Cohort trends
0.006011,0.008629,0.006043,0.007858,319464,True,,F1,E1,S2,D1,log(GMV+1),Seller+Week FE,Positive-sales,No controls
0.008925,0.009591,0.008557,0.008594,319464,True,,F1,E1,S2,D2,log(GMV+1),Seller+Week FE,Positive-sales,Cohort trends
0.032621,0.034468,0.022296,0.032573,85514,True,,F1,E1,S3,D1,log(GMV+1),Seller+Week FE,Early adopters,No controls
0.088644,0.034558,0.029476,0.030700,85514,True,,F1,E1,S3,D2,log(GMV+1),Seller+Week FE,Early adopters,Cohort trends
-0.366317,0.011901,0.006968,0.040731,423706,True,,F1,E2,S1,D1,log(GMV+1),Seller FE only,Full sample,No controls
-0.005574,0.014497,0.011822,0.023434,423706,True,,F1,E2,S1,D2,log(GMV+1),Seller FE only,Full sample,Cohort trends
-0.146157,0.006054,0.003984,0.018442,319464,True,,F1,E2,S2,D1,log(GMV+1),Seller FE only,Positive-sales,No controls
0.017626,0.007694,0.006698,0.018755,319464,True,,F1,E2,S2,D2,log(GMV+1),Seller FE only,Positive-sales,Cohort trends
-0.218125,0.021736,0.013076,0.034596,85514,True,,F1,E2,S3,D1,log(GMV+1),Seller FE only,Early adopters,No controls
0.009040,0.027248,0.022025,0.026397,85514,True,,F1,E2,S3,D2,log(GMV+1),Seller FE only,Early adopters,Cohort trends
0.116282,0.034750,0.014640,0.034386,423706,True,,F1,E3,S1,D1,log(GMV+1),Week FE only,Full sample,No controls
-0.049044,0.025021,0.023343,0.021691,423706,True,,F1,E3,S1,D2,log(GMV+1),Week FE only,Full sample,Cohort trends
0.049722,0.020227,0.008862,0.019237,319925,True,,F1,E3,S2,D1,log(GMV+1),Week FE only,Positive-sales,No controls
-0.019305,0.014439,0.014029,0.010667,319925,True,,F1,E3,S2,D2,log(GMV+1),Week FE only,Positive-sales,Cohort trends
0.135482,0.071833,0.030928,0.068435,85514,True,,F1,E3,S3,D1,log(GMV+1),Week FE only,Early adopters,No controls
0.022073,0.046152,0.045828,0.028272,85514,True,,F1,E3,S3,D2,log(GMV+1),Week FE only,Early adopters,Cohort trends
-0.241880,0.019946,0.010593,0.046840,423706,True,,F1,E4,S1,D1,log(GMV+1),No FE,Full sample,No controls
-0.301370,0.025284,0.017883,0.062811,423706,True,,F1,E4,S1,D2,log(GMV+1),No FE,Full sample,Cohort trends
